activity_key,activity_id,name,category,description,tier,cost_low,cost_high,unit,tier_notes,source,duration_min_weeks,duration_max_weeks,keywords,sources,notes
iam_okta_implementation,IAM-001,Okta SSO/IAM Implementation,identity,Okta Workforce Identity implementation including SSO and MFA,large,100000,250000,project,"1000-5000 users, lifecycle mgmt",,4,16,okta|sso|identity|iam|mfa,Okta pricing|SuperTokens guide,Plus $2-6/user/month ongoing license
iam_okta_implementation,IAM-001,Okta SSO/IAM Implementation,identity,Okta Workforce Identity implementation including SSO and MFA,enterprise,250000,600000,project,"5000+ users, full IGA",,4,16,okta|sso|identity|iam|mfa,Okta pricing|SuperTokens guide,Plus $2-6/user/month ongoing license
iam_azure_ad_implementation,IAM-002,Azure AD / Entra ID Implementation,identity,Microsoft Entra ID (Azure AD) setup and configuration,small,10000,30000,project,"Basic SSO, cloud-only",,2,12,azure|entra|ad|active directory|sso|microsoft,Microsoft partner data,
iam_azure_ad_implementation,IAM-002,Azure AD / Entra ID Implementation,identity,Microsoft Entra ID (Azure AD) setup and configuration,medium,30000,80000,project,Hybrid with AD Connect,,2,12,azure|entra|ad|active directory|sso|microsoft,Microsoft partner data,
iam_azure_ad_implementation,IAM-002,Azure AD / Entra ID Implementation,identity,Microsoft Entra ID (Azure AD) setup and configuration,large,80000,200000,project,"P1/P2 features, conditional access",,2,12,azure|entra|ad|active directory|sso|microsoft,Microsoft partner data,
iam_azure_ad_implementation,IAM-002,Azure AD / Entra ID Implementation,identity,Microsoft Entra ID (Azure AD) setup and configuration,enterprise,200000,500000,project,"PIM, identity governance",,2,12,azure|entra|ad|active directory|sso|microsoft,Microsoft partner data,
iam_ad_migration,IAM-003,Active Directory Migration/Consolidation,identity,Migrate or consolidate Active Directory forests/domains,small,25000,75000,project,"Single domain, <500 users",,8,30,active directory|ad|migration|consolidation|forest,Quest Migration Manager|Semperis,
iam_ad_migration,IAM-003,Active Directory Migration/Consolidation,identity,Migrate or consolidate Active Directory forests/domains,medium,75000,200000,project,"Multi-domain, 500-2000 users",,8,30,active directory|ad|migration|consolidation|forest,Quest Migration Manager|Semperis,
iam_ad_migration,IAM-003,Active Directory Migration/Consolidation,identity,Migrate or consolidate Active Directory forests/domains,large,200000,500000,project,"Forest consolidation, 2000-10000 users",,8,30,active directory|ad|migration|consolidation|forest,Quest Migration Manager|Semperis,
iam_ad_migration,IAM-003,Active Directory Migration/Consolidation,identity,Migrate or consolidate Active Directory forests/domains,enterprise,500000,1500000,project,"Multi-forest, global",,8,30,active directory|ad|migration|consolidation|forest,Quest Migration Manager|Semperis,
iam_pam_implementation,IAM-004,Privileged Access Management (PAM) Implementation,identity,"Implement PAM solution (CyberArk, BeyondTrust, etc.)",small,50000,150000,project,<100 privileged accounts,,12,40,pam|cyberark|beyondtrust|privileged,PAM vendor pricing,
iam_pam_implementation,IAM-004,Privileged Access Management (PAM) Implementation,identity,"Implement PAM solution (CyberArk, BeyondTrust, etc.)",medium,150000,400000,project,100-500 accounts,,12,40,pam|cyberark|beyondtrust|privileged,PAM vendor pricing,
iam_pam_implementation,IAM-004,Privileged Access Management (PAM) Implementation,identity,"Implement PAM solution (CyberArk, BeyondTrust, etc.)",large,400000,1000000,project,500-2000 accounts,,12,40,pam|cyberark|beyondtrust|privileged,PAM vendor pricing,
iam_pam_implementation,IAM-004,Privileged Access Management (PAM) Implementation,identity,"Implement PAM solution (CyberArk, BeyondTrust, etc.)",enterprise,1000000,3000000,project,"2000+ accounts, full enterprise",,12,40,pam|cyberark|beyondtrust|privileged,PAM vendor pricing,
cloud_aws_migration,CLOUD-001,AWS Cloud Migration,cloud,Migrate workloads from on-premises to AWS,small,40000,100000,project,"<20 VMs, lift-and-shift",,8,52,aws|cloud|migration|ec2,AWS migration partners|Appinventiv,
cloud_aws_migration,CLOUD-001,AWS Cloud Migration,cloud,Migrate workloads from on-premises to AWS,medium,100000,300000,project,"20-100 VMs, some re-platforming",,8,52,aws|cloud|migration|ec2,AWS migration partners|Appinventiv,
cloud_aws_migration,CLOUD-001,AWS Cloud Migration,cloud,Migrate workloads from on-premises to AWS,large,300000,800000,project,"100-500 VMs, hybrid approach",,8,52,aws|cloud|migration|ec2,AWS migration partners|Appinventiv,
cloud_aws_migration,CLOUD-001,AWS Cloud Migration,cloud,Migrate workloads from on-premises to AWS,enterprise,800000,3000000,project,"500+ VMs, re-architecture",,8,52,aws|cloud|migration|ec2,AWS migration partners|Appinventiv,
cloud_azure_migration,CLOUD-002,Azure Cloud Migration,cloud,Migrate workloads from on-premises to Microsoft Azure,small,40000,100000,project,<20 VMs,,8,52,azure|cloud|migration|microsoft,Microsoft Azure Migrate|DuploCloud,
cloud_azure_migration,CLOUD-002,Azure Cloud Migration,cloud,Migrate workloads from on-premises to Microsoft Azure,medium,100000,300000,project,20-100 VMs,,8,52,azure|cloud|migration|microsoft,Microsoft Azure Migrate|DuploCloud,
cloud_azure_migration,CLOUD-002,Azure Cloud Migration,cloud,Migrate workloads from on-premises to Microsoft Azure,large,300000,800000,project,100-500 VMs,,8,52,azure|cloud|migration|microsoft,Microsoft Azure Migrate|DuploCloud,
cloud_azure_migration,CLOUD-002,Azure Cloud Migration,cloud,Migrate workloads from on-premises to Microsoft Azure,enterprise,800000,3000000,project,"500+ VMs, Azure Landing Zone",,8,52,azure|cloud|migration|microsoft,Microsoft Azure Migrate|DuploCloud,
cloud_m365_migration,CLOUD-003,Microsoft 365 Migration,cloud,Migrate email and collaboration to Microsoft 365,small,5000,20000,project,<100 mailboxes,"eSudo, Intuitive IT",2,16,m365|office 365|microsoft|email|exchange|migration,eSudo|Intuitive IT|Agile IT,$50-225 per user typical range
cloud_m365_migration,CLOUD-003,Microsoft 365 Migration,cloud,Migrate email and collaboration to Microsoft 365,medium,20000,75000,project,100-500 mailboxes,,2,16,m365|office 365|microsoft|email|exchange|migration,eSudo|Intuitive IT|Agile IT,$50-225 per user typical range
cloud_m365_migration,CLOUD-003,Microsoft 365 Migration,cloud,Migrate email and collaboration to Microsoft 365,large,75000,200000,project,500-2000 mailboxes,,2,16,m365|office 365|microsoft|email|exchange|migration,eSudo|Intuitive IT|Agile IT,$50-225 per user typical range
cloud_m365_migration,CLOUD-003,Microsoft 365 Migration,cloud,Migrate email and collaboration to Microsoft 365,enterprise,200000,600000,project,"2000+ mailboxes, hybrid",,2,16,m365|office 365|microsoft|email|exchange|migration,eSudo|Intuitive IT|Agile IT,$50-225 per user typical range
cloud_google_workspace_migration,CLOUD-004,Google Workspace Migration,cloud,Migrate to Google Workspace from other platforms,small,5000,15000,project,<100 users,,2,12,google|workspace|gsuite|gmail|migration,Google Cloud partners,
cloud_google_workspace_migration,CLOUD-004,Google Workspace Migration,cloud,Migrate to Google Workspace from other platforms,medium,15000,50000,project,100-500 users,,2,12,google|workspace|gsuite|gmail|migration,Google Cloud partners,
cloud_google_workspace_migration,CLOUD-004,Google Workspace Migration,cloud,Migrate to Google Workspace from other platforms,large,50000,150000,project,500-2000 users,,2,12,google|workspace|gsuite|gmail|migration,Google Cloud partners,
cloud_google_workspace_migration,CLOUD-004,Google Workspace Migration,cloud,Migrate to Google Workspace from other platforms,enterprise,150000,400000,project,2000+ users,,2,12,google|workspace|gsuite|gmail|migration,Google Cloud partners,
infra_datacenter_consolidation,INFRA-001,Data Center Consolidation,infrastructure,Consolidate multiple data centers into fewer facilities,small,100000,300000,project,"2 to 1 consolidation, <50 servers",,20,78,datacenter|consolidation|colocation,Data center consultants|TierPoint,
infra_datacenter_consolidation,INFRA-001,Data Center Consolidation,infrastructure,Consolidate multiple data centers into fewer facilities,medium,300000,800000,project,"3-4 to 1, 50-200 servers",,20,78,datacenter|consolidation|colocation,Data center consultants|TierPoint,
infra_datacenter_consolidation,INFRA-001,Data Center Consolidation,infrastructure,Consolidate multiple data centers into fewer facilities,large,800000,2000000,project,"5+ to 1-2, 200-1000 servers",,20,78,datacenter|consolidation|colocation,Data center consultants|TierPoint,
infra_datacenter_consolidation,INFRA-001,Data Center Consolidation,infrastructure,Consolidate multiple data centers into fewer facilities,enterprise,2000000,10000000,project,Global consolidation,,20,78,datacenter|consolidation|colocation,Data center consultants|TierPoint,
infra_network_refresh,INFRA-002,Network Infrastructure Refresh,infrastructure,"Upgrade/replace network switches, routers, firewalls",small,15000,50000,project,"Single site, <50 ports",,4,20,network|switch|router|firewall|refresh|upgrade,Optimal Networks|Fortinet pricing,
infra_network_refresh,INFRA-002,Network Infrastructure Refresh,infrastructure,"Upgrade/replace network switches, routers, firewalls",medium,50000,150000,project,"2-5 sites, 50-200 ports",,4,20,network|switch|router|firewall|refresh|upgrade,Optimal Networks|Fortinet pricing,
infra_network_refresh,INFRA-002,Network Infrastructure Refresh,infrastructure,"Upgrade/replace network switches, routers, firewalls",large,150000,400000,project,"5-20 sites, 200-1000 ports",,4,20,network|switch|router|firewall|refresh|upgrade,Optimal Networks|Fortinet pricing,
infra_network_refresh,INFRA-002,Network Infrastructure Refresh,infrastructure,"Upgrade/replace network switches, routers, firewalls",enterprise,400000,1500000,project,"20+ sites, full refresh",,4,20,network|switch|router|firewall|refresh|upgrade,Optimal Networks|Fortinet pricing,
infra_server_refresh,INFRA-003,Server Infrastructure Refresh,infrastructure,Replace end-of-life servers with new hardware or virtualization,small,20000,75000,project,<10 servers,,8,30,server|hardware|refresh|vmware|hyperv,Server vendor pricing,
infra_server_refresh,INFRA-003,Server Infrastructure Refresh,infrastructure,Replace end-of-life servers with new hardware or virtualization,medium,75000,250000,project,10-50 servers,,8,30,server|hardware|refresh|vmware|hyperv,Server vendor pricing,
infra_server_refresh,INFRA-003,Server Infrastructure Refresh,infrastructure,Replace end-of-life servers with new hardware or virtualization,large,250000,750000,project,50-200 servers,,8,30,server|hardware|refresh|vmware|hyperv,Server vendor pricing,
infra_server_refresh,INFRA-003,Server Infrastructure Refresh,infrastructure,Replace end-of-life servers with new hardware or virtualization,enterprise,750000,3000000,project,200+ servers,,8,30,server|hardware|refresh|vmware|hyperv,Server vendor pricing,
security_siem_implementation,SEC-001,SIEM Implementation (Splunk/Sentinel),cybersecurity,Deploy and configure SIEM platform,small,50000,150000,project,"<500GB/day, basic use cases",,8,26,siem|splunk|sentinel|security|soc,Splunk partner data|Microsoft Sentinel pricing,
security_siem_implementation,SEC-001,SIEM Implementation (Splunk/Sentinel),cybersecurity,Deploy and configure SIEM platform,medium,150000,400000,project,"500GB-2TB/day, standard SOC",,8,26,siem|splunk|sentinel|security|soc,Splunk partner data|Microsoft Sentinel pricing,
security_siem_implementation,SEC-001,SIEM Implementation (Splunk/Sentinel),cybersecurity,Deploy and configure SIEM platform,large,400000,1000000,project,"2-10TB/day, advanced analytics",,8,26,siem|splunk|sentinel|security|soc,Splunk partner data|Microsoft Sentinel pricing,
security_siem_implementation,SEC-001,SIEM Implementation (Splunk/Sentinel),cybersecurity,Deploy and configure SIEM platform,enterprise,1000000,3000000,project,"10+TB/day, 24/7 SOC",,8,26,siem|splunk|sentinel|security|soc,Splunk partner data|Microsoft Sentinel pricing,
security_edr_deployment,SEC-002,EDR Deployment (CrowdStrike/SentinelOne),cybersecurity,Deploy endpoint detection and response solution,small,10000,30000,project,<500 endpoints,,2,8,edr|crowdstrike|sentinelone|endpoint|security,CrowdStrike pricing|SentinelOne pricing,Plus $60-185/endpoint/year ongoing
security_edr_deployment,SEC-002,EDR Deployment (CrowdStrike/SentinelOne),cybersecurity,Deploy endpoint detection and response solution,medium,30000,80000,project,500-2000 endpoints,,2,8,edr|crowdstrike|sentinelone|endpoint|security,CrowdStrike pricing|SentinelOne pricing,Plus $60-185/endpoint/year ongoing
security_edr_deployment,SEC-002,EDR Deployment (CrowdStrike/SentinelOne),cybersecurity,Deploy endpoint detection and response solution,large,80000,200000,project,2000-10000 endpoints,,2,8,edr|crowdstrike|sentinelone|endpoint|security,CrowdStrike pricing|SentinelOne pricing,Plus $60-185/endpoint/year ongoing
security_edr_deployment,SEC-002,EDR Deployment (CrowdStrike/SentinelOne),cybersecurity,Deploy endpoint detection and response solution,enterprise,200000,500000,project,10000+ endpoints,,2,8,edr|crowdstrike|sentinelone|endpoint|security,CrowdStrike pricing|SentinelOne pricing,Plus $60-185/endpoint/year ongoing
security_pentest,SEC-003,Penetration Testing,cybersecurity,External and internal penetration testing engagement,small,5000,15000,project,Single web app or network,,1,6,pentest|penetration|security|assessment|red team,TCM Security|Blaze InfoSec|Invicti,
security_pentest,SEC-003,Penetration Testing,cybersecurity,External and internal penetration testing engagement,medium,15000,40000,project,Web + network + social engineering,,1,6,pentest|penetration|security|assessment|red team,TCM Security|Blaze InfoSec|Invicti,
security_pentest,SEC-003,Penetration Testing,cybersecurity,External and internal penetration testing engagement,large,40000,100000,project,Comprehensive assessment,,1,6,pentest|penetration|security|assessment|red team,TCM Security|Blaze InfoSec|Invicti,
security_pentest,SEC-003,Penetration Testing,cybersecurity,External and internal penetration testing engagement,enterprise,100000,300000,project,"Red team engagement, multiple sites",,1,6,pentest|penetration|security|assessment|red team,TCM Security|Blaze InfoSec|Invicti,
security_vulnerability_program,SEC-004,Vulnerability Management Program,cybersecurity,Implement continuous vulnerability scanning and remediation program,small,20000,50000,project,"Basic scanning, <500 assets",,4,16,vulnerability|scanning|qualys|tenable|rapid7,Vulnerability management vendors,
security_vulnerability_program,SEC-004,Vulnerability Management Program,cybersecurity,Implement continuous vulnerability scanning and remediation program,medium,50000,150000,project,"Managed scanning, 500-2000 assets",,4,16,vulnerability|scanning|qualys|tenable|rapid7,Vulnerability management vendors,
security_vulnerability_program,SEC-004,Vulnerability Management Program,cybersecurity,Implement continuous vulnerability scanning and remediation program,large,150000,400000,project,"Full program, 2000-10000 assets",,4,16,vulnerability|scanning|qualys|tenable|rapid7,Vulnerability management vendors,
security_vulnerability_program,SEC-004,Vulnerability Management Program,cybersecurity,Implement continuous vulnerability scanning and remediation program,enterprise,400000,1000000,project,"Enterprise program, 10000+ assets",,4,16,vulnerability|scanning|qualys|tenable|rapid7,Vulnerability management vendors,
security_compliance_remediation,SEC-005,Security Compliance Remediation (SOC2/ISO27001),cybersecurity,Remediate gaps to achieve security compliance certification,small,30000,80000,project,"SOC2 Type 1, minimal gaps",,12,40,soc2|iso27001|compliance|security|audit,Compliance consultants,
security_compliance_remediation,SEC-005,Security Compliance Remediation (SOC2/ISO27001),cybersecurity,Remediate gaps to achieve security compliance certification,medium,80000,200000,project,"SOC2 Type 2, moderate gaps",,12,40,soc2|iso27001|compliance|security|audit,Compliance consultants,
security_compliance_remediation,SEC-005,Security Compliance Remediation (SOC2/ISO27001),cybersecurity,Remediate gaps to achieve security compliance certification,large,200000,500000,project,"ISO27001 + SOC2, significant gaps",,12,40,soc2|iso27001|compliance|security|audit,Compliance consultants,
security_compliance_remediation,SEC-005,Security Compliance Remediation (SOC2/ISO27001),cybersecurity,Remediate gaps to achieve security compliance certification,enterprise,500000,1500000,project,"Multi-framework, major remediation",,12,40,soc2|iso27001|compliance|security|audit,Compliance consultants,
dr_backup_implementation,DR-001,Enterprise Backup Solution Implementation,disaster_recovery,"Implement enterprise backup solution (Veeam, Commvault)",small,20000,60000,project,<50 VMs,,4,16,backup|veeam|commvault|recovery,Veeam pricing|Commvault partners,
dr_backup_implementation,DR-001,Enterprise Backup Solution Implementation,disaster_recovery,"Implement enterprise backup solution (Veeam, Commvault)",medium,60000,150000,project,50-200 VMs,,4,16,backup|veeam|commvault|recovery,Veeam pricing|Commvault partners,
dr_backup_implementation,DR-001,Enterprise Backup Solution Implementation,disaster_recovery,"Implement enterprise backup solution (Veeam, Commvault)",large,150000,400000,project,200-1000 VMs,,4,16,backup|veeam|commvault|recovery,Veeam pricing|Commvault partners,
dr_backup_implementation,DR-001,Enterprise Backup Solution Implementation,disaster_recovery,"Implement enterprise backup solution (Veeam, Commvault)",enterprise,400000,1000000,project,"1000+ VMs, global",,4,16,backup|veeam|commvault|recovery,Veeam pricing|Commvault partners,
dr_plan_development,DR-002,Disaster Recovery Plan Development,disaster_recovery,Develop comprehensive DR plan with testing procedures,small,15000,40000,project,"Single site, basic plan",,4,16,disaster recovery|dr|bcdr|plan|rto|rpo,DR consultants,
dr_plan_development,DR-002,Disaster Recovery Plan Development,disaster_recovery,Develop comprehensive DR plan with testing procedures,medium,40000,100000,project,"Multi-site, detailed runbooks",,4,16,disaster recovery|dr|bcdr|plan|rto|rpo,DR consultants,
dr_plan_development,DR-002,Disaster Recovery Plan Development,disaster_recovery,Develop comprehensive DR plan with testing procedures,large,100000,250000,project,"Enterprise-wide, automated testing",,4,16,disaster recovery|dr|bcdr|plan|rto|rpo,DR consultants,
dr_plan_development,DR-002,Disaster Recovery Plan Development,disaster_recovery,Develop comprehensive DR plan with testing procedures,enterprise,250000,600000,project,Global DR program,,4,16,disaster recovery|dr|bcdr|plan|rto|rpo,DR consultants,
itsm_servicenow_implementation,ITSM-001,ServiceNow ITSM Implementation,itsm,Implement ServiceNow IT Service Management platform,small,75000,200000,project,Core ITSM only,,12,52,servicenow|itsm|itil,ServiceNow pricing guide|Aelum Consulting,Plus $50-100/user/month licensing
itsm_servicenow_implementation,ITSM-001,ServiceNow ITSM Implementation,itsm,Implement ServiceNow IT Service Management platform,medium,200000,500000,project,ITSM + ITOM,,12,52,servicenow|itsm|itil,ServiceNow pricing guide|Aelum Consulting,Plus $50-100/user/month licensing
itsm_servicenow_implementation,ITSM-001,ServiceNow ITSM Implementation,itsm,Implement ServiceNow IT Service Management platform,large,500000,1200000,project,"Multi-module, integrations",,12,52,servicenow|itsm|itil,ServiceNow pricing guide|Aelum Consulting,Plus $50-100/user/month licensing
itsm_servicenow_implementation,ITSM-001,ServiceNow ITSM Implementation,itsm,Implement ServiceNow IT Service Management platform,enterprise,1200000,4500000,project,"Full platform, global",,12,52,servicenow|itsm|itil,ServiceNow pricing guide|Aelum Consulting,Plus $50-100/user/month licensing
itsm_jira_implementation,ITSM-002,Jira Service Management Implementation,itsm,Implement Atlassian Jira Service Management,small,10000,30000,project,"Basic setup, <100 agents",,4,16,jira|jsm|itsm|atlassian,Atlassian partners,
itsm_jira_implementation,ITSM-002,Jira Service Management Implementation,itsm,Implement Atlassian Jira Service Management,medium,30000,80000,project,"Standard, 100-500 agents",,4,16,jira|jsm|itsm|atlassian,Atlassian partners,
itsm_jira_implementation,ITSM-002,Jira Service Management Implementation,itsm,Implement Atlassian Jira Service Management,large,80000,200000,project,"Enterprise, 500-2000 agents",,4,16,jira|jsm|itsm|atlassian,Atlassian partners,
itsm_jira_implementation,ITSM-002,Jira Service Management Implementation,itsm,Implement Atlassian Jira Service Management,enterprise,200000,500000,project,"Data Center, 2000+ agents",,4,16,jira|jsm|itsm|atlassian,Atlassian partners,
hcm_workday_implementation,HCM-001,Workday HCM Implementation,hcm,Implement Workday Human Capital Management,small,200000,500000,project,"Core HCM, <1000 employees",,24,78,workday|hcm|hr|payroll,Workday implementation partners|OutSail,Implementation typically 100-200% of annual subscription
